City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,katabu,-4.9333,122.5167,24.48,93,100,0.6,ID,1714931296
171,alaghsas,17.0187,8.0168,41.94,6,0,4.63,NE,1714931300
172,mount pearl,47.5166,-52.7813,5.25,77,100,5.14,CA,1714931302
173,kolonia,50.9333,6.95,17.25,61,20,2.06,DE,1714931109
174,sitka,57.0531,-135.33,7.94,76,100,8.75,US,1714931306
175,tsiombe,-25.3,45.4833,19.93,81,0,3.23,MG,1714931309
176,chui,-33.6971,-53.4616,21.7,88,94,4.03,UY,1714931311
177,torbat-e heydariyeh,35.274,59.2195,19.68,27,1,1.29,IR,1714931313
178,al ghayzah,16.2079,52.176,29.79,75,2,5.4,YE,1714931315
179,shache,38.4167,77.2406,22.6,14,94,4.23,CN,1714931317
180,port elizabeth,-33.918,25.5701,16.29,89,0,1.03,ZA,1714931319
181,naberera,-4.2,36.9333,17.48,95,100,4.17,TZ,1714931321
182,severo-yeniseyskiy,60.3725,93.0408,5.32,80,100,5.36,RU,1714931323
183,fale old settlement,-9.3852,-171.2468,28.98,78,79,2.98,TK,1714931325
184,enewetak,11.3474,162.3373,27.62,75,43,7.93,MH,1714931327
185,canto do buriti,-8.11,-42.9444,35.8,29,100,4.63,BR,1714931073
186,yarmouth,41.7057,-70.2286,13.31,81,100,4.12,US,1714931331
187,sanshui,23.1549,112.8916,24.99,88,4,1.28,CN,1714931333
188,narrabri,-30.3167,149.7833,11.96,92,0,0.89,AU,1714931335
189,hasaki,35.7333,140.8333,17.38,78,95,9.68,JP,1714931337
190,ihosy,-22.4,46.1167,15.17,96,1,2.95,MG,1714931339
191,amuntai,-2.4177,115.2494,24.09,99,99,0.43,ID,1714931341
192,khandyga,62.6667,135.6,0.5,100,100,1.46,RU,1714931343
193,kamyzyak,46.11,48.0736,9.99,53,0,0.0,RU,1714931345
194,prince albert,53.2001,-105.7677,12.97,54,40,5.14,CA,1714931102
195,tofol,5.3248,163.0078,28.1,80,67,6.46,FM,1714931349
196,paradip garh,20.3167,86.6167,28.28,87,5,7.75,IN,1714931351
197,kedougou,12.5579,-12.1743,43.32,14,0,2.06,SN,1714931353
198,panama city beach,30.1766,-85.8055,30.59,66,40,4.63,US,1714931355
199,howard springs,-12.497,131.047,25.95,80,90,2.37,AU,1714931357
200,hammerfest,70.6634,23.6821,-0.75,80,75,5.14,NO,1714931359
201,san pedro,14.35,121.0167,29.62,77,40,3.58,PH,1714931361
202,namibe,-15.1961,12.1522,23.05,74,22,2.58,AO,1714931363
203,moires,35.0532,24.8744,17.84,60,10,4.92,GR,1714931365
204,queenstown,-31.8976,26.8753,17.15,33,0,3.55,ZA,1714931367
205,colares,38.7992,-9.4469,18.82,93,40,6.71,PT,1714931369
206,quellon,-43.1167,-73.6167,6.51,84,100,4.24,CL,1714931371
207,la passe,45.5549,-0.8967,16.13,94,100,3.8,FR,1714931373
208,tazovsky,67.4667,78.7,-5.74,88,100,8.15,RU,1714931376
209,calvi,42.5,8.8333,15.35,59,0,2.06,FR,1714931377
210,canutama,-6.5339,-64.3831,31.57,67,92,2.01,BR,1714931379
211,vicente guerrero,19.1194,-98.1708,28.03,24,25,4.17,MX,1714931381
212,salmon arm,50.6998,-119.3024,16.35,51,100,1.03,CA,1714931383
213,rawson,-43.3002,-65.1023,12.63,25,1,8.37,AR,1714931152
214,karlskrona,56.1616,15.5866,11.25,96,96,2.71,SE,1714931387
215,saint-pierre,-21.3393,55.4781,22.82,64,0,3.6,RE,1714931389
216,klyuchi,52.2667,79.1667,7.81,68,100,3.96,RU,1714931391
217,arraial do cabo,-22.9661,-42.0278,29.98,74,0,9.26,BR,1714931393
218,pacific grove,36.6177,-121.9166,13.99,73,40,3.6,US,1714931221
219,vilyuchinsk,52.9306,158.4028,1.81,89,92,1.76,RU,1714931398
220,chibougamau,49.9168,-74.3659,11.79,94,100,4.63,CA,1714931238
221,lazaro cardenas,17.9583,-102.2,28.63,57,79,4.17,MX,1714931341
